Timestamp;PIDout;MotorSpeed;DrivePower
33396086;2.190000E+002;4.199000E+003;6.560190E+000
33397089;1.880000E+002;4.199000E+003;6.560190E+000
33398090;2.060000E+002;4.181000E+003;6.560190E+000
33399085;2.060000E+002;4.181000E+003;6.560190E+000
33400122;2.210000E+002;4.166000E+003;6.560190E+000
33401089;2.190000E+002;4.168000E+003;6.560190E+000
33402090;2.110000E+002;4.176000E+003;6.560190E+000
33403086;2.290000E+002;4.158000E+003;6.705972E+000
33404087;2.150000E+002;4.172000E+003;6.705972E+000
33405091;2.040000E+002;4.183000E+003;6.705972E+000
33406085;2.040000E+002;4.183000E+003;6.705972E+000
33407089;2.170000E+002;4.170000E+003;6.705972E+000
33408090;2.190000E+002;4.168000E+003;6.705972E+000
33409086;2.170000E+002;4.170000E+003;6.705972E+000
33410090;2.060000E+002;4.181000E+003;6.705972E+000
33411124;2.250000E+002;4.162000E+003;6.705972E+000
33412090;2.190000E+002;4.181000E+003;6.705972E+000
33413091;2.380000E+002;4.149000E+003;6.705972E+000
33414088;1.900000E+002;4.197000E+003;6.705972E+000
33415089;1.900000E+002;4.174000E+003;6.705972E+000
33416085;2.130000E+002;4.174000E+003;6.705972E+000
33417086;2.170000E+002;4.170000E+003;6.705972E+000
33418091;2.000000E+002;4.187000E+003;6.705972E+000
33419092;2.340000E+002;4.153000E+003;6.705972E+000
33420091;2.090000E+002;4.178000E+003;6.705972E+000
33421092;2.060000E+002;4.181000E+003;6.705972E+000
33422088;1.980000E+002;4.189000E+003;6.705972E+000
33423204;1.940000E+002;4.193000E+003;6.705972E+000
33424086;2.230000E+002;4.164000E+003;6.705972E+000
33425087;2.230000E+002;4.164000E+003;6.705972E+000
33426092;1.900000E+002;4.197000E+003;6.705972E+000
33427085;2.040000E+002;4.183000E+003;6.705972E+000
33428089;2.110000E+002;4.176000E+003;6.705972E+000
33429090;1.900000E+002;4.197000E+003;6.705972E+000
33430089;2.060000E+002;4.181000E+003;6.705972E+000
33431090;2.170000E+002;4.183000E+003;6.705972E+000
33432087;2.170000E+002;4.170000E+003;6.705972E+000
33433086;2.170000E+002;4.183000E+003;6.705972E+000
33434100;2.040000E+002;4.183000E+003;6.705972E+000
33435087;2.000000E+002;4.187000E+003;6.705972E+000
33436088;2.040000E+002;4.183000E+003;6.705972E+000
33437091;2.060000E+002;4.181000E+003;6.705972E+000
33438092;2.060000E+002;4.181000E+003;6.608784E+000
33439087;1.770000E+002;4.183000E+003;6.608784E+000
33440090;1.900000E+002;4.197000E+003;6.608784E+000
33441086;1.920000E+002;4.195000E+003;6.608784E+000
33442086;1.920000E+002;4.195000E+003;6.608784E+000
33443090;2.090000E+002;4.178000E+003;6.608784E+000
33444090;1.980000E+002;4.189000E+003;6.608784E+000
33445100;1.940000E+002;4.193000E+003;6.608784E+000
33446088;2.110000E+002;4.176000E+003;6.608784E+000
33447089;1.830000E+002;4.204000E+003;6.608784E+000
33448092;1.900000E+002;4.187000E+003;6.608784E+000
33449084;2.000000E+002;4.187000E+003;6.608784E+000
33450091;2.040000E+002;4.183000E+003;6.608784E+000
33451091;2.040000E+002;4.183000E+003;6.608784E+000
33452087;2.000000E+002;4.187000E+003;6.608784E+000
33453087;1.900000E+002;4.197000E+003;6.608784E+000
33454090;2.090000E+002;4.178000E+003;6.608784E+000
33455091;2.030000E+002;4.197000E+003;6.608784E+000
33456103;2.340000E+002;4.187000E+003;6.608784E+000
33457088;1.840000E+002;4.216000E+003;6.608784E+000
33458091;2.070000E+002;4.193000E+003;6.608784E+000
33459092;2.110000E+002;4.189000E+003;6.608784E+000
33460090;2.110000E+002;4.208000E+003;6.608784E+000
33461090;1.920000E+002;4.208000E+003;6.608784E+000
33462086;2.260000E+002;4.174000E+003;6.608784E+000
33463086;2.070000E+002;4.193000E+003;6.608784E+000
33464090;2.030000E+002;4.197000E+003;6.608784E+000
33465090;1.920000E+002;4.208000E+003;6.608784E+000
33466086;1.840000E+002;4.216000E+003;6.608784E+000
33467103;2.170000E+002;4.183000E+003;6.608784E+000
33468089;1.820000E+002;4.218000E+003;6.608784E+000
33469085;1.920000E+002;4.208000E+003;6.608784E+000
33470089;1.920000E+002;4.208000E+003;6.608784E+000
33471085;2.030000E+002;4.197000E+003;6.608784E+000
33472087;1.670000E+002;4.233000E+003;6.608784E+000
33473091;1.880000E+002;4.212000E+003;6.608784E+000
33474092;1.920000E+002;4.208000E+003;6.511596E+000
33475088;2.030000E+002;4.197000E+003;6.511596E+000
33476089;1.880000E+002;4.212000E+003;6.511596E+000
33477086;1.820000E+002;4.218000E+003;6.511596E+000
33478105;1.840000E+002;4.216000E+003;6.511596E+000
33479091;1.840000E+002;4.216000E+003;6.511596E+000
33480090;1.840000E+002;4.216000E+003;6.511596E+000
33481091;1.860000E+002;4.214000E+003;6.511596E+000
33482087;1.940000E+002;4.206000E+003;6.511596E+000
33483089;1.820000E+002;4.237000E+003;6.511596E+000
33484085;1.820000E+002;4.218000E+003;6.511596E+000
33485086;1.880000E+002;4.212000E+003;6.511596E+000
33486090;1.900000E+002;4.210000E+003;6.511596E+000
33487091;1.820000E+002;4.218000E+003;6.511596E+000
33488087;1.820000E+002;4.197000E+003;6.511596E+000
33489102;2.030000E+002;4.197000E+003;6.511596E+000
33490090;1.820000E+002;4.218000E+003;6.511596E+000
33491087;1.820000E+002;4.218000E+003;6.511596E+000
33492088;1.730000E+002;4.227000E+003;6.511596E+000
33493084;1.860000E+002;4.214000E+003;6.511596E+000
33494085;1.840000E+002;4.216000E+003;6.511596E+000
33495089;1.780000E+002;4.222000E+003;6.511596E+000
